"","NAME","SIGNIFICANT","SERIOUS","SYSTEM_TYPE","FATAL","INJURE","TOTAL_COST_CURRENT","MAP_CAUSE","year","CoF"
"1","PANHANDLE EASTERN PIPELINE CO","YES","NO","GT (Gas Transmission)",0,0,"123717.004848267","EXCAVATION DAMAGE",1986,123717
"2","COLUMBIA GULF TRANSMISSION CO","YES","NO","GT (Gas Transmission)",0,0,"247434.009696534","EXCAVATION DAMAGE",1986,247434
"3","TRANSWESTERN PIPELINE CO","YES","NO","GT (Gas Transmission)",0,0,"241248.159454121","ALL OTHER CAUSES",1986,241248
"4","TEXAS EASTERN GAS PIPELINE CO","YES","YES","GT (Gas Transmission)",0,3,"2680535.10504579","ALL OTHER CAUSES",1986,12680535
"5","CONSOLIDATED GAS TRANSMISSION CORP","YES","YES","GT (Gas Transmission)",0,1,"1237.17004848267","ALL OTHER CAUSES",1986,3334571
"6","ARKANSAS LOUISIANA GAS CO (ARKLA GAS CO)","YES","NO","GT (Gas Transmission)",0,0,"303836.592206859","MATERIAL/WELD/EQUIP FAILURE",1986,303837
"7","PACIFIC GAS & ELECTRIC CO","YES","NO","GT (Gas Transmission)",0,0,"2783632.60908601","NATURAL FORCE DAMAGE",1986,2783633
"8","PACIFIC GAS & ELECTRIC CO","NO","NO","GT (Gas Transmission)",0,0,"103097.504040223","EXCAVATION DAMAGE",1986,103098
"9","CHEVRON PIPELINE CO","YES","NO","GT (Gas Transmission)",0,0,"206195.008080445","MATERIAL/WELD/EQUIP FAILURE",1986,206195
"10","PACIFIC GAS & ELECTRIC CO","YES","NO","GT (Gas Transmission)",0,0,"181451.607110792","ALL OTHER CAUSES",1986,181452
"11","TENNESSEE GAS PIPELINE CO","YES","NO","GT (Gas Transmission)",0,0,"504480.830669779","EXCAVATION DAMAGE",1986,504481
"12","ST JOHN THE BAPTIST PARISH UTILITIES","YES","YES","GT (Gas Transmission)",0,1,"30929.2512120668","ALL OTHER CAUSES",1986,3364263
"13","UNITED GAS PIPELINE CO","YES","NO","GT (Gas Transmission)",0,0,"536107.021009158","EXCAVATION DAMAGE",1986,536107
"14","UNITED GAS PIPELINE CO","YES","NO","GT (Gas Transmission)",0,0,"191567.534207218","ALL OTHER CAUSES",1986,191568
"15","UNION CARBIDE CORP","NO","NO","GT (Gas Transmission)",0,0,"32578.8112767104","CORROSION",1986,32579
"16","MONTANA POWER CO","YES","NO","GT (Gas Transmission)",0,0,"329912.012928712","CORROSION",1986,329912
"17","MONTANA POWER CO","NO","NO","GT (Gas Transmission)",0,0,"62477.0874483749","EXCAVATION DAMAGE",1986,62477
"18","ROCKY MOUNTAIN NATURAL GAS CO INC","YES","YES","GG (Gas Gathering)",1,3,"12371.7004848267","ALL OTHER CAUSES",1986,20012372
"19","NORTHERN NATURAL GAS CO","YES","NO","GT (Gas Transmission)",0,0,"309292.512120668","CORROSION",1986,309293
"20","UNITED GAS PIPELINE CO","YES","NO","GT (Gas Transmission)",0,0,"889162.361644819","MATERIAL/WELD/EQUIP FAILURE",1986,889162
"21","SOUTHERN CALIFORNIA GAS CO","YES","NO","GT (Gas Transmission)",0,0,"272713.517687197","ALL OTHER CAUSES",1986,272714
"22","UNITED GAS PIPELINE CO","YES","NO","GT (Gas Transmission)",0,0,"515487.520201113","CORROSION",1986,515488
"23","ANR PIPELINE CO (AMERICAN NATURAL RESOURCE)","YES","NO","GT (Gas Transmission)",0,0,"206195.008080445","MATERIAL/WELD/EQUIP FAILURE",1986,206195
"24","NORTHWEST PIPELINE CORP","NO","NO","GT (Gas Transmission)",0,0,"97324.0438139702","NATURAL FORCE DAMAGE",1986,97324
"25","NORTHERN NATURAL GAS CO","YES","NO","GT (Gas Transmission)",0,0,"206195.008080445","MATERIAL/WELD/EQUIP FAILURE",1986,206195
"26","UNITED TEXAS TRANSMISSION CO","YES","NO","GT (Gas Transmission)",0,0,"131319.414796193","ALL OTHER CAUSES",1986,131319
"27","TRANSCO GAS PIPELINE CORP","YES","NO","GT (Gas Transmission)",0,0,"309292.512120668","ALL OTHER CAUSES",1986,309293
"28","NORTHWEST CENTRAL PIPELINE CORP","NO","NO","GT (Gas Transmission)",0,0,"61858.5024241336","EXCAVATION DAMAGE",1986,61859
"29","SOUTHERN NATURAL GAS CO","YES","NO","GT (Gas Transmission)",0,0,"2680535.10504579","ALL OTHER CAUSES",1986,2680535
"30","MID - LOUISIANA GAS CO","YES","NO","GT (Gas Transmission)",0,0,"268053.510504579","EXCAVATION DAMAGE",1986,268054
"31","ENSERCH GAS TRANSMISSION CO","YES","YES","GT (Gas Transmission)",1,0,"642483.02567786","EXCAVATION DAMAGE",1986,10642483
"32","NORTHWEST CENTRAL PIPELINE CORP","YES","YES","GT (Gas Transmission)",1,0,"0","EXCAVATION DAMAGE",1986,1e+07
"33","EL PASO NATURAL GAS CO","YES","YES","GT (Gas Transmission)",0,3,"0","MATERIAL/WELD/EQUIP FAILURE",1986,1e+07
"34","COLUMBIA GAS TRANSMISSION CORP","YES","NO","GT (Gas Transmission)",0,0,"278363.260908601","CORROSION",1986,278363
"35","NATURAL GAS PIPELINE CO OF AMERICA","YES","NO","GT (Gas Transmission)",0,0,"212846.85904112","MATERIAL/WELD/EQUIP FAILURE",1986,212847
"36","TEXAS EASTERN GAS PIPELINE CO","YES","NO","GT (Gas Transmission)",0,0,"1094895.49290716","CORROSION",1986,1094895
"37","ANR PIPELINE CO (AMERICAN NATURAL RESOURCE)","NO","NO","GT (Gas Transmission)",0,0,"103097.504040223","CORROSION",1986,103098
"38","NATURAL GAS PIPELINE CO OF AMERICA","NO","NO","GT (Gas Transmission)",0,0,"103097.504040223","EXCAVATION DAMAGE",1986,103098
"39","EL PASO NATURAL GAS CO","YES","YES","GG (Gas Gathering)",0,2,"0","ALL OTHER CAUSES",1986,6666667
"40","EL PASO NATURAL GAS CO","YES","YES","GG (Gas Gathering)",0,1,"0","ALL OTHER CAUSES",1986,3333333
"41","PHILLIPS PETROLEUM CO","YES","YES","GG (Gas Gathering)",1,0,"0","ALL OTHER CAUSES",1986,1e+07
"42","SOUTHERN CALIFORNIA GAS CO","NO","NO","GT (Gas Transmission)",0,0,"103097.504040223","ALL OTHER CAUSES",1986,103098
"43","WESTAR TRANSMISSION CO","YES","NO","GT (Gas Transmission)",0,0,"160832.106302747","MATERIAL/WELD/EQUIP FAILURE",1986,160832
"44","ARKLA ENERGY RESOURCES","YES","NO","GT (Gas Transmission)",0,0,"383497.971628659","MATERIAL/WELD/EQUIP FAILURE",1986,383498
"45","SESCO PRODUCTION CO","YES","YES",NA,0,4,"1030.97504040223","EXCAVATION DAMAGE",1986,13334364
"46","NATURAL GAS PIPELINE CO OF AMERICA","YES","NO","GT (Gas Transmission)",0,0,"128459.490034117","MATERIAL/WELD/EQUIP FAILURE",1986,128459
"47","TEXAS EASTERN GAS PIPELINE CO","NO","NO","GT (Gas Transmission)",0,0,"103097.504040223","ALL OTHER CAUSES",1986,103098
"48","PANHANDLE EASTERN PIPELINE CO","YES","YES","GT (Gas Transmission)",1,0,"1546462.56060334","ALL OTHER CAUSES",1986,11546463
"49","UNITED GAS PIPELINE CO","YES","NO","GT (Gas Transmission)",0,0,"1412435.80535105","ALL OTHER CAUSES",1986,1412436
"50","SEA ROBIN PIPELINE CO","YES","NO","GG (Gas Gathering)",0,0,"185575.507272401","EXCAVATION DAMAGE",1986,185576
"51","EL PASO NATURAL GAS CO","YES","YES","GG (Gas Gathering)",1,0,"0","EXCAVATION DAMAGE",1986,1e+07
"52","STINGRAY PIPELINE CO","YES","NO","GG (Gas Gathering)",0,0,"412390.016160891","CORROSION",1986,412390
"53","ARKLA ENERGY RESOURCES","YES","NO","GT (Gas Transmission)",0,0,"154646.256060334","ALL OTHER CAUSES",1986,154646
"54","UNITED GAS PIPELINE CO","YES","NO",NA,0,0,"457062.164661519","ALL OTHER CAUSES",1986,457062
"55","HOUSTON PIPELINE CO","YES","YES","GT (Gas Transmission)",0,1,"10309.7504040223","MATERIAL/WELD/EQUIP FAILURE",1986,3343643
"56","VALERO TRANSMISSION CO","NO","NO","GT (Gas Transmission)",0,0,"103097.504040223","EXCAVATION DAMAGE",1986,103098
"57","WILLISTON BASIN INTERSTATE PIPELINE CO","YES","YES","GG (Gas Gathering)",0,1,"721682.528281559","MATERIAL/WELD/EQUIP FAILURE",1986,4055016
"58","ANR PIPELINE CO (AMERICAN NATURAL RESOURCE)","NO","NO","GT (Gas Transmission)",0,0,"100834.21145065","MATERIAL/WELD/EQUIP FAILURE",1987,100834
"59","STINGRAY PIPELINE CO","YES","NO","GG (Gas Gathering)",0,0,"403336.845802599","CORROSION",1987,403337
"60","WESTAR TRANSMISSION CO","NO","NO","GT (Gas Transmission)",0,0,"20166.84229013","EXCAVATION DAMAGE",1987,20167
"61","ILLINOIS POWER CO","YES","NO","GT (Gas Transmission)",0,0,"201668.4229013","EXCAVATION DAMAGE",1987,201668
"62","NATURAL GAS PIPELINE CO OF AMERICA","YES","NO","GG (Gas Gathering)",0,0,"302502.634351949","CORROSION",1987,302503
"63","NATURAL GAS PIPELINE CO OF AMERICA","YES","NO","GT (Gas Transmission)",0,0,"142266.988935722","EXCAVATION DAMAGE",1987,142267
"64","PHILLIPS PETROLEUM CO","YES","NO","GT (Gas Transmission)",0,0,"185575.507272401","CORROSION",1986,185576
"65","UNITED TEXAS TRANSMISSION CO","YES","NO","GT (Gas Transmission)",0,0,"296920.452406041","CORROSION",1987,296920
"66","VALERO TRANSMISSION CO","NO","NO","GT (Gas Transmission)",0,0,"2016.684229013","EXCAVATION DAMAGE",1987,2017
"67","VALERO TRANSMISSION CO","NO","NO","GT (Gas Transmission)",0,0,"36300.3161222339","CORROSION",1987,36300
"68","MEMPHIS LIGHT GAS & WATER DIVISION","YES","YES","GT (Gas Transmission)",0,1,"33275.2897787144","EXCAVATION DAMAGE",1987,3366609
"69","COLUMBIA GAS TRANSMISSION CORP","NO","NO","GT (Gas Transmission)",0,0,"90750.7903055848","ALL OTHER CAUSES",1987,90751
"70","FLORIDA GAS TRANSMISSION CO","YES","YES","GT (Gas Transmission)",0,2,"0","CORROSION",1987,6666667
"71","WASHINGTON GAS LIGHT CO","YES","NO","GT (Gas Transmission)",0,0,"1008342.1145065","ALL OTHER CAUSES",1987,1008342
"72","LONE STAR GAS CO","NO","NO","GG (Gas Gathering)",0,0,"11057.4796276783","CORROSION",1987,11057
"73","DELHI GAS PIPELINE CORP","NO","NO","GG (Gas Gathering)",0,0,"10972.7788900597","CORROSION",1987,10973
"74","NORTHWEST PIPELINE CORP","NO","NO","GT (Gas Transmission)",0,0,"48400.4214963119","MATERIAL/WELD/EQUIP FAILURE",1987,48400
"75","LONE STAR GAS CO","YES","NO","GT (Gas Transmission)",0,0,"705839.480154549","ALL OTHER CAUSES",1987,705839
"76","LONE STAR GAS CO","NO","NO","GT (Gas Transmission)",0,0,"95792.5008781173","EXCAVATION DAMAGE",1987,95793
"77","LONE STAR GAS CO","NO","NO","GT (Gas Transmission)",0,0,"100834.21145065","ALL OTHER CAUSES",1987,100834
"78","VALERO TRANSMISSION CO","YES","NO","GT (Gas Transmission)",0,0,"403336.845802599","CORROSION",1987,403337
"79","MONTANA POWER CO","NO","NO","GT (Gas Transmission)",0,0,"23998.5423252547","EXCAVATION DAMAGE",1987,23999
"80","UNITED TEXAS TRANSMISSION CO","YES","NO","GT (Gas Transmission)",0,0,"201668.4229013","CORROSION",1987,201668
"81","VALERO TRANSMISSION CO","YES","YES","GT (Gas Transmission)",0,1,"40333.6845802599","EXCAVATION DAMAGE",1987,3373667
"82","TENNESSEE GAS PIPELINE CO","YES","NO","GT (Gas Transmission)",0,0,"223851.949420443","EXCAVATION DAMAGE",1987,223852
"83","WESTAR TRANSMISSION CO","NO","NO","GT (Gas Transmission)",0,0,"100834.21145065","EXCAVATION DAMAGE",1987,100834
"84","EAST TENNESSEE NATURAL GAS CO","NO","NO","GT (Gas Transmission)",0,0,"36300.3161222339","EXCAVATION DAMAGE",1987,36300
"85","C B GAS GATHERING INC","NO","NO","GG (Gas Gathering)",0,0,"66550.5795574289","ALL OTHER CAUSES",1987,66551
"86","TEXAS SOUTHEASTERN GAS CO","NO","NO","GT (Gas Transmission)",0,0,"8066.73691605198","EXCAVATION DAMAGE",1987,8067
"87","ANR PIPELINE CO (AMERICAN NATURAL RESOURCE)","YES","NO","GG (Gas Gathering)",0,0,"165368.106779066","CORROSION",1987,165368
"88","ARKLA ENERGY RESOURCES","YES","NO","GT (Gas Transmission)",0,0,"141877.768879522","CORROSION",1987,141878
"89","ALGONQUIN GAS TRANSMISSION CO","NO","NO","GT (Gas Transmission)",0,0,"76986.9204425711","EXCAVATION DAMAGE",1987,76987
"90","SOUTHWESTERN GAS PIPELINE INC","YES","NO","GT (Gas Transmission)",0,0,"508081.407973305","EXCAVATION DAMAGE",1987,508081
"91","HOUSTON PIPELINE CO","NO","NO","GT (Gas Transmission)",0,0,"20166.84229013","ALL OTHER CAUSES",1987,20167
"92","DELHI GAS PIPELINE CORP","NO","NO","GT (Gas Transmission)",0,0,"18150.158061117","ALL OTHER CAUSES",1987,18150
"93","PACIFIC GAS & ELECTRIC CO","NO","NO","GT (Gas Transmission)",0,0,"100834.21145065","EXCAVATION DAMAGE",1987,100834
"94","STINGRAY PIPELINE CO","YES","NO","GG (Gas Gathering)",0,0,"403336.845802599","EXCAVATION DAMAGE",1987,403337
"95","TRUNKLINE GAS CO","YES","NO","GT (Gas Transmission)",0,0,"121001.05374078","CORROSION",1987,121001
"96","RIO GRANDE VALLEY GAS CO","NO","NO","GT (Gas Transmission)",0,0,"80667.3691605198","CORROSION",1987,80667
"97","MICHIGAN CONSOLIDATED GAS CO (MICHCON)","YES","YES","GT (Gas Transmission)",0,1,"0","ALL OTHER CAUSES",1987,3333333
"98","ARKLA ENERGY RESOURCES","NO","NO","GT (Gas Transmission)",0,0,"24502.7133825079","CORROSION",1987,24503
"99","EL PASO NATURAL GAS CO","YES","NO","GT (Gas Transmission)",0,0,"1008342.1145065","ALL OTHER CAUSES",1987,1008342
"100","TRANSCO GAS PIPELINE CORP","YES","NO","GT (Gas Transmission)",0,0,"134512.838075167","EXCAVATION DAMAGE",1987,134513
"101","COMMONWEALTH GAS PIPELINE CORP","NO","NO","GT (Gas Transmission)",0,0,"10083.421145065","EXCAVATION DAMAGE",1987,10083
"102","COLUMBIA GAS TRANSMISSION CORP","YES","YES","GT (Gas Transmission)",0,4,"0","ALL OTHER CAUSES",1987,13333333
"103","ANR PIPELINE CO (AMERICAN NATURAL RESOURCE)","YES","NO","GG (Gas Gathering)",0,0,"1008342.1145065","EXCAVATION DAMAGE",1987,1008342
"104","NORTHWEST PIPELINE CORP","YES","YES",NA,0,4,"0","ALL OTHER CAUSES",1987,13333333
"105","VALERO TRANSMISSION CO","NO","NO","GT (Gas Transmission)",0,0,"20166.84229013","CORROSION",1987,20167
"106","EQUITABLE GAS CO","YES","NO","GT (Gas Transmission)",0,0,"258135.581313663","ALL OTHER CAUSES",1987,258136
"107","OKLAHOMA NATURAL GAS CO","NO","NO","GG (Gas Gathering)",0,0,"51524.265367053","EXCAVATION DAMAGE",1987,51524
"108","EAST TENNESSEE NATURAL GAS CO","NO","NO","GT (Gas Transmission)",0,0,"50417.1057253249","EXCAVATION DAMAGE",1987,50417
"109","PUBLIC SERVICE CO OF COLORADO","YES","NO","GT (Gas Transmission)",0,0,"205701.791359326","MATERIAL/WELD/EQUIP FAILURE",1987,205702
"110","CLAJON GAS CO","NO","NO","GG (Gas Gathering)",0,0,"976.777815583532","ALL OTHER CAUSES",1988,977
"111","PALO DURO PIPELINE CO","NO","NO","GG (Gas Gathering)",0,0,"72600.6322444679","ALL OTHER CAUSES",1987,72601
"112","NATURAL GAS PIPELINE CO OF AMERICA","YES","NO","GT (Gas Transmission)",0,0,"322669.476642079","ALL OTHER CAUSES",1987,322669
"113","FLORIDA GAS TRANSMISSION CO","YES","YES","GT (Gas Transmission)",0,2,"0","ALL OTHER CAUSES",1987,6666667
"114","COLUMBIA GAS TRANSMISSION CORP","YES","NO","GT (Gas Transmission)",0,0,"293033.34467506","CORROSION",1988,293033
"115","UNITED TEXAS TRANSMISSION CO","YES","NO","GT (Gas Transmission)",0,0,"146516.67233753","EXCAVATION DAMAGE",1988,146517
"116","TENNESSEE GAS PIPELINE CO","YES","NO","GT (Gas Transmission)",0,0,"253962.232051718","MATERIAL/WELD/EQUIP FAILURE",1988,253962
"117","AMOCO GAS CO","NO","NO","GG (Gas Gathering)",0,0,"11428.3004423273","CORROSION",1988,11428
"118","FLORIDA GAS TRANSMISSION CO","YES","NO","GT (Gas Transmission)",0,0,"488388.907791766","EXCAVATION DAMAGE",1988,488389
"119","NORTHWEST PIPELINE CORP","YES","NO","GT (Gas Transmission)",0,0,"169959.339911535","NATURAL FORCE DAMAGE",1988,169959
"120","EAST OHIO GAS CO","YES","NO","GT (Gas Transmission)",0,0,"175820.006805036","ALL OTHER CAUSES",1988,175820
"121","ANR PIPELINE CO (AMERICAN NATURAL RESOURCE)","YES","YES","GT (Gas Transmission)",1,0,"1465166.7233753","EXCAVATION DAMAGE",1988,11465167
"122","POWER TEX JOINT VENTURE","YES","NO","GT (Gas Transmission)",0,0,"195355.563116706","ALL OTHER CAUSES",1988,195356
"123","CONSOLIDATED GAS TRANSMISSION CORP","YES","NO","GT (Gas Transmission)",0,0,"370394.147669275","CORROSION",1988,370394
"124","WILLIAMS NATURAL GAS CO","NO","NO","GT (Gas Transmission)",0,0,"8314.33276624702","EXCAVATION DAMAGE",1988,8314
"125","ANR PIPELINE CO (AMERICAN NATURAL RESOURCE)","YES","NO","GT (Gas Transmission)",0,0,"390711.126233413","EXCAVATION DAMAGE",1988,390711
"126","TENNESSEE GAS PIPELINE CO","YES","NO","GT (Gas Transmission)",0,0,"130888.227288193","MATERIAL/WELD/EQUIP FAILURE",1988,130888
"127","NATURAL GAS PIPELINE CO OF AMERICA","YES","NO","GT (Gas Transmission)",0,0,"166052.2286492","EXCAVATION DAMAGE",1988,166052
"128","ANR PIPELINE CO (AMERICAN NATURAL RESOURCE)","YES","NO","GT (Gas Transmission)",0,0,"253962.232051718","CORROSION",1988,253962
"129","LONE STAR GAS CO","NO","NO","GT (Gas Transmission)",0,0,"31256.890098673","EXCAVATION DAMAGE",1988,31257
"130","CABOT GAS SUPPLY CORP","NO","NO","GT (Gas Transmission)",0,0,"78142.2252466826","EXCAVATION DAMAGE",1988,78142
"131","VALERO TRANSMISSION CO","YES","NO","GT (Gas Transmission)",0,0,"234426.675740048","MATERIAL/WELD/EQUIP FAILURE",1988,234427
"132","DELHI GAS PIPELINE CORP","YES","YES","GT (Gas Transmission)",1,2,"58606.6689350119","ALL OTHER CAUSES",1988,16725273
"133","ANR PIPELINE CO (AMERICAN NATURAL RESOURCE)","YES","NO","GT (Gas Transmission)",0,0,"111352.670976523","MATERIAL/WELD/EQUIP FAILURE",1988,111353
"134","NORTHWEST PIPELINE CORP","YES","NO","GT (Gas Transmission)",0,0,"146516.67233753","EXCAVATION DAMAGE",1988,146517
"135","TENNESSEE GAS PIPELINE CO","YES","NO","GT (Gas Transmission)",0,0,"117213.337870024","NATURAL FORCE DAMAGE",1988,117213
"136","TRANSCO GAS PIPELINE CORP","YES","NO","GT (Gas Transmission)",0,0,"166052.2286492","ALL OTHER CAUSES",1988,166052
"137","VALERO INTERSTATE TRANSMISSION CO","YES","NO","GT (Gas Transmission)",0,0,"449317.795168425","ALL OTHER CAUSES",1988,449318
"138","PHILLIPS PETROLEUM CO","NO","NO","GG (Gas Gathering)",0,0,"22465.8897584212","CORROSION",1988,22466
"139","VALERO TRANSMISSION CO","NO","NO","GT (Gas Transmission)",0,0,"2930.3334467506","EXCAVATION DAMAGE",1988,2930
"140","MEMPHIS LIGHT GAS & WATER DIVISION","NO","NO","GT (Gas Transmission)",0,0,"97677.7815583532","ALL OTHER CAUSES",1988,97678
"141","TEXAS GAS TRANSMISSION CORP","YES","NO","GT (Gas Transmission)",0,0,"976777.815583532","ALL OTHER CAUSES",1988,976778
"142","VALERO TRANSMISSION CO","NO","NO","GT (Gas Transmission)",0,0,"22465.8897584212","EXCAVATION DAMAGE",1988,22466
"143","OZARK GAS PIPELINE CORP","NO","NO","GT (Gas Transmission)",0,0,"87910.0034025179","EXCAVATION DAMAGE",1988,87910
"144","TEXAS GAS TRANSMISSION CORP","NO","NO","GT (Gas Transmission)",0,0,"97677.7815583532","EXCAVATION DAMAGE",1988,97678
